"Any","Mes","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Demanda_ocupacio","Nombre"
2023,1,9,"Sant Andreu",63,"Navas","Homes","Demanda No Aturats",143
2023,1,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Homes","Demanda No Aturats",242
2023,1,10,"Sant Martí",65,"el Clot","Homes","Demanda No Aturats",165
2023,1,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Homes","Demanda No Aturats",79
2023,1,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Homes","Demanda No Aturats",51
2023,1,10,"Sant Martí",68,"el Poblenou","Homes","Demanda No Aturats",176
2023,1,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Homes","Demanda No Aturats",104
2023,1,10,"Sant Martí",70,"el Besòs i el Maresme","Homes","Demanda No Aturats",239
2023,1,10,"Sant Martí",71,"Provençals del Poblenou","Homes","Demanda No Aturats",142
2023,1,10,"Sant Martí",72,"Sant Martí de Provençals","Homes","Demanda No Aturats",200
2023,1,10,"Sant Martí",73,"la Verneda i la Pau","Homes","Demanda No Aturats",228
2023,1,99,"No consta",99,"No consta","Homes","Demanda No Aturats",13
2023,2,1,"Ciutat Vella",1,"el Raval","Dones","Atur Registrat",1387
2023,2,1,"Ciutat Vella",2,"el Barri Gòtic","Dones","Atur Registrat",393
2023,2,1,"Ciutat Vella",3,"la Barceloneta","Dones","Atur Registrat",421
2023,2,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones","Atur Registrat",581
2023,2,2,"Eixample",5,"el Fort Pienc","Dones","Atur Registrat",558
2023,2,2,"Eixample",6,"la Sagrada Família","Dones","Atur Registrat",925
2023,2,2,"Eixample",7,"la Dreta de l'Eixample","Dones","Atur Registrat",600
2023,2,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dones","Atur Registrat",603
2023,2,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dones","Atur Registrat",977
2023,2,2,"Eixample",10,"Sant Antoni","Dones","Atur Registrat",708
2023,2,3,"Sants-Montjuïc",11,"el Poble Sec","Dones","Atur Registrat",945
2023,2,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dones","Atur Registrat",45
2023,2,3,"Sants-Montjuïc",13,"la Marina de Port","Dones","Atur Registrat",886
